"","","","Water"
"Fruit","Calories per piece","Carbs (grams)",""
"","","","Content"
"Apple (1 average)","44 calories","10.5","85 %"
"Apple cooking","35 calories","9","88 %"
"Apricot","30 calories","6.7","85 %"
"Avocado","150 calories","2","60 %"
"Banana","107 calories","26","75 %"
"Blackberries each","1 calorie","0.2","85 %"
"Blackcurrant each","1.1 calorie","0.25","77 %"
"Blueberries  (new) 100g","49 Cals ( 100g )","15 g","81 %"
"Cherry each","2.4 calories","0.6","83 %"
"Clementine","24 cals","5","66 %"
"Currants","5 calories","1.4","16 %"
"Damson","28 calories","7.2","70 %"
"One average date 5g","5 cals","1.2","14 %"
"Dates with inverted sugar 100g","250 calories","63","12 %"
"Figs","10 calories","2.4","24 %"
"Gooseberries","2.6 calories","0.65","80 %"
"Grapes 100g Seedless","50 cals","15","82 %"
"one average Grape 6g","3 calories","0.9","82 %"
"Grapefruit whole","100 calories","23","65 %"
"Guava","24 calories","4.4","85 %"
"Kiwi","34 calories","8","75 %"
"Lemon","20 calories","3.4","85 %"
"Lychees","3 calories","0.7","80 %"
"Mango","40 calories","9.5","80 %"
"Melon Honeydew (130g)","36 calories","9","90 %"
"Melon Canteloupe (130g)","25 cals","6","93 %"
"Nectarines","42 calories","9","80 %"
"Olives","6.8 calories","trace","63 %"
