"Orange average","35 calories","8.5","73 %"
"Orange large 350g","100 Cals","22g","75 %"
"Papaya Diced (small handful)","67 Cals  (20g)","17g","-"
"Passion Fruit","30 calories","3","50 %"
"Paw Paw","28 calories","6","70 %"
"Peach","35 calories","7","80 %"
"Pear","45 calories","12","77 %"
"Pineapple","50 calories","12","85 %"
"Plum","25 calories","6","79 %"
"Prunes","9 calories","2.2","37 %"
"Raisins","5 calories","1.4","13 %"
"Raspberries each","1.1 calories","0.2","87 %"
"Rhubarb","8 calories","0.8","95 %"
"Satsuma one average 112g","29 cals","6.5","88 %"
"Satsumas 100g","35 calories","8.5","88 %"
"Strawberries (1 average)","2.7 calories","0.6","90 %"
"Sultanas","5 calories","1.4","16 %"
"Tangerine","26 calories","6","60 %"
"Tomatoes (1 average size)","9 cals","2.2","93 %"
"Tomatoes Cherry (1 average size)","2 calories","0.5","90 %"
