"","pmid"
"1",22093196
"2",23564755
"3",28181728
"4",23992601
"5",25189213
"6",25552421
"7",25656169
"8",25758769
"9",26524706
"10",29196298
"11",27222508
"12",27797925
"13",30415602
"14",27009868
"15",28910237
"16",30523029
"17",30371301
"18",28454792
"19",27437883
"20",25600421
"21",26052984
"22",28432745
"23",28847886
"24",27742728
"25",28057693
"26",27630212
"27",31189509
"28",31189511
"29",30291013
"30",25155146
"31",27295427
"32",30566004
"33",30566006
"34",24176437
"35",25656058
"36",28476871
"37",30072400
"38",27633290
"39",30290289
"40",26378978
"41",30412655
"42",28666775
"43",29020355
"44",27299675
"45",28386035
"46",29777264
"47",29540217
"48",30418475
"49",30292589
"50",25965710
"51",26630143
"52",29133604
"53",29937267
"54",29941478
"55",30591006
"56",28605608
"57",29526832
"58",29652078
"59",29581078
"60",29769203
"61",30371278
"62",28195387
"63",23992602
"64",28246236
"65",25765696
"66",27480840
"67",29064626
"68",30990260
"69",29133604
"70",29937267
"71",29941478
"72",30591006
"73",25468945
"74",26450639
"75",28605608
"76",29103664
"77",29526832
"78",25059406
"79",28893244
